id,question,correctoption,cognitivelevel,option_a,option_b,option_c,option_d,option_e,option_f,rationale
1,¿Qué son los Derechos Humanos y qué característica los define?,A,Baja,"Principios y garantías inherentes a toda persona por su sola condición humana; son universales, inalienables e indivisibles y se fundan en la dignidad",Privilegios que la empresa otorga según el cargo o la antigüedad de cada trabajador,Normas que cada país aplica solo si decide adoptarlas voluntariamente,Beneficios que se ganan al cumplir las metas de producción del área,Reglas que una persona pierde al cometer una falta grave,,"Los Derechos Humanos son los principios y garantías que corresponden a toda persona por el solo hecho de existir, sin importar su nacionalidad, sexo, origen, religión o cualquier otra condición. Tienen tres rasgos esenciales: son universales (aplican a todos por igual), inalienables (no se pueden quitar ni renunciar a ellos) e indivisibles (todos son igualmente importantes). Se fundan en la dignidad humana. En Minsur esto significa que aplican por igual a colaboradores, contratistas y comunidades vinculadas a la operación: un operario, un proveedor y un poblador vecino son titulares de los mismos derechos. B y D los confunden con beneficios laborales condicionados al cargo, la antigüedad o las metas; los DDHH no se ganan ni dependen de la posición. C niega su carácter universal y obligatorio. E contradice su carácter inalienable: no se pierden por una falta."
2,"En una operación minera conviven trabajadores propios, contratistas, visitantes y comunidades vecinas. ¿A quiénes aplican los Derechos Humanos?",A,Baja,"A todas las personas por igual, sin importar su vínculo con la empresa, su nacionalidad o su condición",Solo a los trabajadores con contrato directo de la empresa,Solo a las personas que son ciudadanas del país donde opera la mina,Solo a quienes han recibido la capacitación correspondiente,Solo al personal directivo y a las jefaturas con responsabilidad,,"Los Derechos Humanos son universales: aplican a todas las personas por su sola condición humana, sin distinción de nacionalidad, vínculo contractual, rol o cualquier otra circunstancia. En el entorno de Minsur esto es muy concreto: un colaborador de planilla, un trabajador de una empresa contratista, un visitante y un poblador de una comunidad vecina son, todos, titulares de los mismos derechos. Por eso la responsabilidad de respetar no se limita al personal propio; alcanza a contratistas, proveedores y al entorno donde opera la empresa. B, C, D y E restringen indebidamente el alcance a un grupo (personal directo, ciudadanos, capacitados o directivos). Todas contradicen el principio de universalidad: los derechos no dependen del vínculo ni de la condición de la persona."
3,¿Cuál es la finalidad principal de los Derechos Humanos y cuándo brindan protección?,A,Baja,"Proteger la dignidad, la libertad y la igualdad de las personas frente a abusos y vulneraciones",Garantizar el orden interno y la disciplina dentro de las organizaciones,Asegurar resultados económicos y la productividad de las empresas,Mantener las jerarquías y los privilegios según el cargo,Reemplazar a las leyes laborales de cada país,,"La finalidad de los Derechos Humanos es proteger la dignidad de cada persona y asegurar condiciones de libertad, igualdad y justicia, especialmente frente a abusos o vulneraciones por parte del Estado, de terceros o de actores con poder, como las empresas. Su protección se activa precisamente cuando un derecho está en riesgo o se ve afectado. Para Minsur, esto orienta la prioridad: el objetivo no es la imagen ni la productividad, sino prevenir el daño a las personas —colaboradores, contratistas y comunidades— y reparar cuando ese daño ya ocurrió. B, C y D confunden el fin de los DDHH con objetivos organizacionales (orden, productividad, jerarquía) que no son su propósito. E es incorrecto: los DDHH no reemplazan la ley laboral, sino que fijan un piso mínimo de dignidad que la complementa."
4,La Declaración Universal de los Derechos Humanos (DUDH) fue adoptada en 1948. ¿Por quién y en qué contexto surge?,A,Media,"Por la Asamblea General de las Naciones Unidas, tras la Segunda Guerra Mundial, como referente común para todos los pueblos","Por una alianza de empresas privadas, para regular sus relaciones comerciales","Por los gobiernos locales de cada región, para aplicarla solo en su territorio","Por un tribunal internacional, como sentencia de un juicio concreto","Por una federación sindical, para proteger únicamente a los trabajadores",,"La Declaración Universal de los Derechos Humanos fue proclamada por la Asamblea General de las Naciones Unidas el 10 de diciembre de 1948, en París, tras los horrores de la Segunda Guerra Mundial. Surge para evitar que se repitan vulneraciones masivas a la dignidad humana y establece, en 30 artículos, un estándar común de derechos para todas las personas y naciones. Es el documento fundacional del sistema internacional de Derechos Humanos y la base sobre la que se construyeron tratados y marcos posteriores, incluidos los que hoy orientan la conducta responsable de las empresas, como Minsur. B, C y E atribuyen la Declaración a actores sin ese alcance (empresas, gobiernos locales o sindicatos); su valor radica en ser un acuerdo internacional de la ONU. D confunde una declaración de principios con una sentencia judicial."
5,El principio de igualdad y no discriminación implica que en Minsur no debe haber distinciones basadas en:,A,Baja,"Raza, sexo, religión, opinión política, origen, edad, discapacidad u otra condición personal protegida",El nivel de desempeño objetivo demostrado en el puesto,El cumplimiento de las normas de seguridad de la operación,El resultado de una evaluación técnica de competencias,El área o el turno de trabajo asignado por necesidad operativa,,"La igualdad y no discriminación es un principio central de los DDHH: todas las personas deben recibir un trato equitativo, sin distinciones por características personales como raza, sexo, religión, opinión política, origen, edad, discapacidad u orientación. Es clave diferenciar la discriminación —prohibida— de las distinciones legítimas basadas en criterios objetivos del trabajo, como el desempeño real, las competencias o la seguridad. En Minsur, lo prohibido es tratar distinto a alguien por lo que es; no lo es, en cambio, organizar el trabajo o reconocer el mérito con criterios objetivos y aplicados por igual a todos. B, C, D y E describen criterios legítimos y objetivos del ámbito laboral (desempeño, seguridad, competencias, organización del trabajo). Distinguir por estos factores no es discriminación; la discriminación se basa en condiciones personales protegidas, como en la opción correcta."
6,"La prohibición del trabajo forzoso, reconocida en los DDHH y en los Convenios de la OIT, implica que:",A,Media,Ningún trabajo puede imponerse bajo amenaza o coacción; toda labor debe ser libremente aceptada y la persona debe poder retirarse,Todo puesto de trabajo debe ser permanente e indefinido,La prohibición aplica únicamente a los menores de edad,Es una política interna que cada empresa decide aplicar o no,Solo se vulnera si no existe un contrato firmado de por medio,,"El trabajo forzoso es todo trabajo o servicio exigido a una persona bajo amenaza de una pena y para el cual no se ha ofrecido voluntariamente. Su prohibición es absoluta: la labor debe ser libremente aceptada y la persona debe poder ponerle fin. Señales de alerta incluyen retención de documentos, deudas inducidas, restricción de movimiento o jornadas impuestas bajo coacción. En la minería, este riesgo puede aparecer sobre todo en la cadena de contratistas y proveedores, por lo que Minsur debe vigilarlo también fuera de su personal directo, no solo de puertas adentro. B confunde la libertad del trabajo con su permanencia. C limita falsamente la prohibición a menores: protege a todas las personas. D la trata como opcional, cuando es una prohibición internacional absoluta. E es incorrecto: puede haber trabajo forzoso aun existiendo contrato, si media coacción."
7,"Derechos como la salud, la educación o el acceso al agua muestran que los Derechos Humanos:",A,Media,"Han evolucionado e incluyen no solo derechos civiles y políticos, sino también económicos, sociales, culturales y ambientales",Se limitan únicamente a los derechos civiles y políticos clásicos,Son beneficios que cada empresa decide otorgar a su personal,Solo existen si están escritos en un reglamento interno,Dependen del nivel de ingresos de cada persona,,"Los Derechos Humanos no son una lista cerrada: han evolucionado en el tiempo. Junto a los derechos civiles y políticos (vida, libertad, igualdad), se reconocen derechos económicos, sociales y culturales —como la salud, la educación, el trabajo digno— y, más recientemente, derechos ligados a un medio ambiente sano. Todos son interdependientes. Para una minera como Minsur, esta visión amplia es esencial: su actividad puede incidir en la salud, el acceso al agua o el ambiente de las comunidades, derechos tan exigibles como los civiles, y por ello deben integrarse en la gestión de impactos. B reduce los DDHH solo a lo civil y político, ignorando su evolución. C y E los confunden con beneficios o ingresos, negando su carácter inherente. D condiciona su existencia a un reglamento, cuando los DDHH preceden y obligan a cualquier norma interna."
8,"El derecho a un medio ambiente sano se vulnera, por ejemplo, cuando una operación:",A,Media,"Genera residuos, emisiones o vertimientos sin control adecuado, afectando la salud o los medios de vida de las personas",Optimiza sus procesos para consumir menos recursos,Cambia de proveedor por motivos de costo,Reduce los plazos de un proyecto de construcción,Reorganiza los turnos del personal de planta,,"Un medio ambiente sano es condición para ejercer otros derechos, como la salud, el agua o la alimentación. Se vulnera cuando una operación contamina el aire, el agua o el suelo, o gestiona mal sus residuos, afectando a las personas y a sus medios de vida. En minería este vínculo es directo: el polvo, el manejo del agua o los relaves pueden impactar a comunidades vecinas. Por eso Minsur debe identificar y controlar estos impactos como parte de su debida diligencia, entendiéndolos no solo como un asunto ambiental, sino como un posible impacto a derechos de las personas. B, C, D y E describen decisiones operativas o de gestión (eficiencia, proveedores, plazos, turnos) que no vulneran por sí mismas un derecho ambiental. La vulneración surge de la afectación real al entorno y a las personas, como en la opción correcta."
9,"En el contexto de una operación minera, el derecho a la vida y a la integridad se vulnera principalmente cuando:",A,Media,Se expone a las personas a riesgos graves y evitables sin las medidas de protección adecuadas,Se retrasa la entrega de un reporte administrativo,Se reduce el presupuesto de un área de soporte,Se modifica el cronograma de un proyecto,Se cambia el turno de un grupo de trabajadores,,"El derecho a la vida y a la integridad personal es uno de los más fundamentales. En una operación minera se vulnera cuando se expone a las personas a peligros graves y evitables —trabajar sin protección frente a un riesgo conocido, omitir controles de seguridad o ignorar una condición insegura—. Aquí los Derechos Humanos y la seguridad ocupacional se encuentran: garantizar condiciones seguras para colaboradores y contratistas no es solo cumplimiento normativo, es respetar su derecho a la vida y a la salud. Lo determinante es si la exposición al riesgo era evitable y no se gestionó. B, C, D y E describen decisiones administrativas u operativas (reportes, presupuesto, cronograma, turnos) que no afectan en sí mismas la vida o la integridad. La vulneración se configura por la exposición a un riesgo grave y evitable, como en la opción correcta."
10,"Según los Principios Rectores de la ONU sobre Empresas y Derechos Humanos (2011), ¿cómo se distribuyen los roles entre el Estado y la empresa?",A,Media,"El Estado tiene el deber de proteger; la empresa, la responsabilidad de respetar; y debe existir acceso a remediar los impactos",La empresa reemplaza al Estado en la protección de los derechos de la población,Solo el Estado tiene responsabilidades; la empresa no tiene ninguna,La empresa solo debe respetar los derechos de su personal directo,La remediación es opcional y queda a criterio de quien causó el daño,,"Los Principios Rectores de la ONU (2011) se organizan en tres pilares: 'Proteger, Respetar y Remediar'. El Estado tiene el deber de proteger los Derechos Humanos frente a abusos, incluidos los de terceros; las empresas tienen la responsabilidad de respetarlos, es decir, de no vulnerarlos y de gestionar sus impactos; y debe existir acceso a mecanismos de remediación para las personas afectadas. Son el estándar internacional de referencia para la conducta empresarial responsable. Para Minsur fijan con claridad su rol: respetar y, cuando corresponda, contribuir a remediar, sin sustituir ni evadir al Estado. B y C distorsionan el reparto de roles: la empresa ni sustituye al Estado ni queda exenta de responsabilidad. D limita indebidamente el respeto solo al personal propio, cuando abarca toda la operación y la cadena de valor. E contradice el tercer pilar: la remediación no es opcional."
11,"Para una empresa como Minsur, 'respetar los Derechos Humanos' significa principalmente:",A,Media,"No vulnerarlos ni directa ni indirectamente, y prevenir o mitigar los impactos también en su cadena de valor y relaciones comerciales","Promoverlos solo de forma externa, en su publicidad y reportes",Cumplirlos únicamente con el personal de planilla de la empresa,Delegar toda la responsabilidad de cumplirlos en el Estado,Actuar solo cuando exista una denuncia formal de por medio,,"La responsabilidad de respetar significa, ante todo, no causar ni contribuir a impactos negativos sobre los Derechos Humanos ('no hacer daño'). Pero va más allá de las acciones propias: la empresa también debe procurar prevenir o mitigar los impactos directamente relacionados con sus operaciones, productos o servicios a través de sus relaciones comerciales, incluidos proveedores y contratistas. Es una responsabilidad activa y preventiva, no pasiva: implica conocer los riesgos y actuar antes de que ocurra el daño, en toda la cadena de valor. Para Minsur, respetar no termina en el cerco de la mina. B reduce el respeto a una cuestión de imagen. C lo limita al personal directo, excluyendo la cadena de valor. D evade la responsabilidad propia. E es reactivo: esperar la denuncia contradice el carácter preventivo del respeto."
12,"Una empresa puede relacionarse con un impacto a los Derechos Humanos de tres maneras: causarlo, contribuir a él o estar directamente vinculada a través de sus relaciones comerciales. Esto implica que Minsur:",A,Alta,"Tiene responsabilidad incluso cuando no causó el daño directamente, si está vinculada a él por un proveedor o contratista, y debe usar su influencia para prevenirlo o mitigarlo","Solo responde por los daños que provoca con sus propias manos, nunca por terceros",Queda exenta de responsabilidad apenas terceriza una actividad a un contratista,Solo debe actuar si un juez determina previamente su grado de culpa,Puede ignorar los impactos de sus proveedores porque son empresas distintas,,"Los Principios Rectores distinguen tres formas de relación con un impacto: causarlo, contribuir a él o estar directamente vinculado a través de las relaciones comerciales. La respuesta esperada varía, pero en todos los casos hay responsabilidad: si la empresa causa o contribuye, debe cesar el daño y remediar; si está vinculada por un proveedor, debe usar su capacidad de influencia (cláusulas, evaluaciones, planes de mejora, e incluso terminar la relación) para que cese. Para Minsur, tercerizar una actividad no terceriza la responsabilidad: los impactos de contratistas y proveedores siguen estando dentro de su esfera de gestión. B y E niegan la responsabilidad sobre terceros, ignorando la categoría 'directamente vinculado'. C confunde tercerizar con desligarse: la influencia subsiste. D condiciona la acción a una sentencia, cuando la responsabilidad de respetar no depende de un fallo judicial."
13,La debida diligencia en Derechos Humanos es el proceso por el cual la empresa:,A,Media,"Identifica, previene, mitiga y rinde cuentas de cómo aborda sus impactos reales y potenciales sobre los derechos de las personas",Aumenta la producción reduciendo los costos operativos,Audita únicamente sus estados financieros una vez al año,Reacciona solo después de que un daño ya ha ocurrido,Documenta procesos en archivos sin tomar ninguna acción concreta,,"La debida diligencia en Derechos Humanos es un proceso continuo y preventivo: la empresa identifica y evalúa sus impactos reales y potenciales, integra los hallazgos y actúa para prevenirlos o mitigarlos, hace seguimiento de la eficacia de esas medidas y comunica cómo los aborda. No es un trámite puntual ni una auditoría financiera: es un ciclo que se repite porque los riesgos cambian con las operaciones y los contextos. Su finalidad es anticiparse al daño a las personas antes de que ocurra. En Minsur articula todo el sistema: política, evaluación de riesgos, planes de mitigación y mecanismos de reclamación. B confunde el proceso con un objetivo productivo. C lo reduce a lo financiero. D contradice su esencia preventiva: no es solo reaccionar. E lo vacía de contenido: documentar sin actuar no es debida diligencia."
14,"El sistema de debida diligencia en Derechos Humanos de una empresa como Minsur se compone, de forma integral, de:",A,Media,"Un compromiso de alto nivel, capacitación, evaluación de riesgos e impactos, planes de mitigación y mecanismos de reclamación, articulados entre sí",Únicamente la realización de auditorías una vez al año,Únicamente la aplicación de sanciones cuando hay incumplimientos,Únicamente la publicación de comunicados internos esporádicos,Únicamente el cumplimiento de las metas de producción del periodo,,"Un sistema de debida diligencia no es una acción aislada, sino un conjunto de elementos coordinados que se refuerzan: un compromiso político de alto nivel (política y código), capacitación para que las personas reconozcan y actúen, evaluación periódica de riesgos e impactos, planes de mitigación para reducir o eliminar esos impactos, y mecanismos de reclamación para recibir, investigar y responder quejas. En Minsur, estos componentes operan como un ciclo: lo que se detecta en una evaluación alimenta los planes, y lo que llega por el canal de denuncias retroalimenta el sistema y la mejora continua. B, C, D y E reducen el sistema a un solo componente (auditorías, sanciones, comunicados o metas). La debida diligencia es integral: ninguno de esos elementos por sí solo basta para prevenir y gestionar impactos."
15,El compromiso de Minsur con los Derechos Humanos se formaliza principalmente en:,A,Baja,"Su Política de Derechos Humanos y su Código de Ética/Conducta, aprobados al más alto nivel de la organización",Los manuales operativos de cada planta o área,Los informes financieros trimestrales para los accionistas,Los contratos comerciales individuales con cada proveedor,Comunicados internos esporádicos sin carácter permanente,,"El compromiso de una empresa con los Derechos Humanos se formaliza en un compromiso político de alto nivel, normalmente una Política de Derechos Humanos reforzada por el Código de Ética o de Conducta. Estos documentos declaran públicamente el compromiso, fijan principios y expectativas, y aplican a todos los colaboradores y, en lo pertinente, a contratistas y proveedores. Que estén aprobados por la alta dirección les da respaldo y los convierte en el marco que orienta las decisiones y la conducta esperada. Para Minsur, son la referencia formal que traduce el compromiso en obligaciones concretas para toda la organización. B, C y D corresponden a documentos operativos, financieros o contractuales que no son el instrumento donde se declara el compromiso en DDHH. E carece de la formalidad y permanencia de una política aprobada al más alto nivel."
16,"Además de las políticas escritas, una buena gobernanza de Derechos Humanos requiere comités y roles definidos. ¿Para qué sirven?",A,Media,"Para supervisar el cumplimiento de las políticas, impulsar acciones preventivas y correctivas y asignar responsabilidades claras",Para autorizar excepciones a las políticas cuando convenga al área,Para evaluar el desempeño y la productividad individual del personal,Para aprobar los presupuestos y las compras de cada gerencia,Para reemplazar a la Línea Ética en la recepción de denuncias,,"Las políticas escritas no bastan por sí solas: la debida diligencia exige gobernanza, es decir, comités, comités de ética o de diversidad, y roles con responsabilidades claras que aseguren que el compromiso se cumple en la práctica. Estos espacios supervisan la aplicación de las políticas, impulsan planes preventivos, hacen seguimiento a las acciones correctivas y rinden cuentas. Para Minsur, contar con esta estructura evita que la Política de DDHH quede en el papel: alguien debe ser responsable de monitorear los riesgos, dar seguimiento a los casos y promover la mejora continua del sistema. B contradice su función: los comités velan por el cumplimiento, no autorizan excepciones. C los confunde con evaluación de desempeño. D corresponde a una función presupuestal. E es incorrecto: la gobernanza complementa el canal de denuncias, no lo sustituye."
